OTU_ID,Filtered because
vOTU_81232,sample was not significant in 181 samples (1) > 0.99
vOTU_126974,sample was not significant in 181 samples (1) > 0.99
vOTU_34619,sample was not significant in 181 samples (1) > 0.99
vOTU_73813,sample was not significant in 181 samples (1) > 0.99
vOTU_18119,sample was not significant in 181 samples (1) > 0.99
vOTU_64255,sample was not significant in 181 samples (1) > 0.99
vOTU_99607,sample was not significant in 181 samples (1) > 0.99
vOTU_4150,sample was not significant in 181 samples (1) > 0.99
vOTU_34869,sample was not significant in 181 samples (1) > 0.99
vOTU_5323,sample was not significant in 181 samples (1) > 0.99
vOTU_585,sample was not significant in 181 samples (1) > 0.99
vOTU_24304,sample was not significant in 181 samples (1) > 0.99
vOTU_24540,sample was not significant in 181 samples (1) > 0.99
vOTU_73378,sample was not significant in 181 samples (1) > 0.99
vOTU_42365,sample was not significant in 181 samples (1) > 0.99
vOTU_32906,sample was not significant in 181 samples (1) > 0.99
vOTU_6381,sample was not significant in 181 samples (1) > 0.99
vOTU_131866,sample was not significant in 181 samples (1) > 0.99
vOTU_5547,sample was not significant in 181 samples (1) > 0.99
vOTU_58339,sample was not significant in 181 samples (1) > 0.99
vOTU_23930,sample was not significant in 181 samples (1) > 0.99
vOTU_135730,sample was not significant in 181 samples (1) > 0.99
vOTU_18739,sample was not significant in 181 samples (1) > 0.99
vOTU_66864,sample was not significant in 181 samples (1) > 0.99
vOTU_12414,sample was not significant in 181 samples (1) > 0.99
vOTU_11192,sample was not significant in 181 samples (1) > 0.99
vOTU_78150,sample was not significant in 181 samples (1) > 0.99
vOTU_78306,sample was not significant in 181 samples (1) > 0.99
vOTU_42103,sample was not significant in 181 samples (1) > 0.99
vOTU_48318,sample was not significant in 181 samples (1) > 0.99
vOTU_15305,sample was not significant in 181 samples (1) > 0.99
vOTU_783,sample was not significant in 181 samples (1) > 0.99
vOTU_22836,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_1976,sample was not significant in 181 samples (1) > 0.99
vOTU_18434,sample was not significant in 181 samples (1) > 0.99
vOTU_103056,sample was not significant in 181 samples (1) > 0.99
vOTU_14568,sample was not significant in 181 samples (1) > 0.99
vOTU_31420,sample was not significant in 181 samples (1) > 0.99
vOTU_4339,sample was not significant in 181 samples (1) > 0.99
vOTU_5945,sample was not significant in 181 samples (1) > 0.99
vOTU_12282,sample was not significant in 181 samples (1) > 0.99
vOTU_96929,sample was not significant in 181 samples (1) > 0.99
vOTU_1394,sample was not significant in 181 samples (1) > 0.99
vOTU_135811,sample was not significant in 181 samples (1) > 0.99
vOTU_85111,sample was not significant in 181 samples (1) > 0.99
vOTU_138471,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_4061,sample was not significant in 181 samples (1) > 0.99
vOTU_427,sample was not significant in 181 samples (1) > 0.99
vOTU_55788,sample was not significant in 181 samples (1) > 0.99
vOTU_9096,sample was not significant in 181 samples (1) > 0.99
vOTU_107265,sample was not significant in 181 samples (1) > 0.99
vOTU_68513,sample was not significant in 181 samples (1) > 0.99
vOTU_133542,sample was not significant in 181 samples (1) > 0.99
vOTU_76533,sample was not significant in 181 samples (1) > 0.99
vOTU_77473,sample was not significant in 181 samples (1) > 0.99
vOTU_11625,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_75437,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_6862,sample was not significant in 181 samples (1) > 0.99
vOTU_1236,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_27100,sample was not significant in 181 samples (1) > 0.99
vOTU_25027,sample was not significant in 181 samples (1) > 0.99
vOTU_29269,sample was not significant in 181 samples (1) > 0.99
vOTU_7727,sample was not significant in 181 samples (1) > 0.99
vOTU_21846,sample was not significant in 181 samples (1) > 0.99
vOTU_40603,sample was not significant in 181 samples (1) > 0.99
